7.000000000000000000e+02 nan nan nan nan -3.092176236547216142e-02 8.216489460154202673e-01 2.374175710094056022e-02 8.942090072227383557e-02 -2.436575101314056649e-02 nan nan
7.010000000000000000e+02 nan nan nan nan -3.068318598692756916e-02 8.209890175075760244e-01 2.383036869446293268e-02 8.973234160533410941e-02 -2.443584260652602314e-02 nan nan
7.020000000000000000e+02 nan nan nan nan -3.082314645514338050e-02 8.203278680173711201e-01 2.391828084422317063e-02 9.004458529190111082e-02 -2.450607203864916747e-02 nan nan
7.030000000000000000e+02 nan nan nan nan -3.064640804776392474e-02 8.201811370651073130e-01 2.392143214959267447e-02 9.013316561096476609e-02 -2.452437772416654269e-02 nan nan
7.040000000000000000e+02 nan nan nan nan -3.078718816159585828e-02 8.195206683205773501e-01 2.400891675092728730e-02 9.044529984526071542e-02 -2.459441054835145510e-02 nan nan
7.050000000000000000e+02 nan nan nan nan -3.061031468922033663e-02 8.193733633899350499e-01 2.401237195706322491e-02 9.053380735575608518e-02 -2.461266208746624995e-02 nan nan
7.060000000000000000e+02 nan nan nan nan -3.037248619989683235e-02 8.187156128709890401e-01 2.409953379073896326e-02 9.084511444474446806e-02 -2.468225908430579998e-02 nan nan
7.070000000000000000e+02 nan nan nan nan -3.057490552001283085e-02 8.185656858076536535e-01 2.410319572078321176e-02 9.093426352538223900e-02 -2.470069465695158908e-02 nan nan
7.080000000000000000e+02 nan nan nan nan -3.033749171568721550e-02 8.179089791833302758e-01 2.418963314560468314e-02 9.124563396180807029e-02 -2.477015252623139888e-02 nan nan
7.090000000000000000e+02 nan nan nan nan -3.054018016862791729e-02 8.177580936453251459e-01 2.419391146921697627e-02 9.133453011242330388e-02 -2.478847412414500462e-02 nan nan
7.100000000000000000e+02 nan nan nan nan -3.030318225825943609e-02 8.171024319805820779e-01 2.427962456065221875e-02 9.164596292958887558e-02 -2.485779250889100928e-02 nan nan
7.110000000000000000e+02 nan nan nan nan -3.044710911042575532e-02 8.164455919715991605e-01 2.436459542850435631e-02 9.195823015719933879e-02 -2.492725857161873573e-02 nan nan
7.120000000000000000e+02 nan nan nan nan -3.026955748051977230e-02 8.162959606034863036e-01 2.436951559247357152e-02 9.204609809279057364e-02 -2.494517801086071004e-02 nan nan
